rol,recurso,ubicacion,rango_horario,accion,label,interarrival_time,timestamp
Interno,http,Externa,corta,consulta,normal,0.047,0.047
Interno,ftp,Externa,larga,subida,normal,0.301,0.348
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.132,0.48
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.091,0.571
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.017,0.588
Interno,telnet,Externa,media,conexion,normal,0.017,0.605
AnonimoExterno,telnet,Externa,media,conexion,normal,0.006,0.611
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.201,0.812
Interno,telnet,Externa,corta,conexion,ps,0.092,0.904
Interno,http,Externa,media,consulta,normal,0.123,1.027
AnonimoExterno,private,Externa,corta,conexion,snmpgetattack,0.002,1.029
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.35,1.379
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.179,1.558
AnonimoExterno,nntp,Externa,muy_corta,conexion,saint,0.024,1.582
AnonimoExterno,efs,Externa,muy_corta,conexion,neptune,0.02,1.602
Interno,pop_3,Externa,muy_corta,conexion,guess_passwd,0.02,1.622
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.036,1.659
InternoPrivilegiado,telnet,Externa,media,conexion,xsnoop,0.074,1.733
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.057,1.789
AnonimoExterno,auth,Externa,corta,conexion,normal,0.034,1.824
Interno,smtp,Externa,media,envio,normal,0.095,1.919
AnonimoExterno,finger,Externa,media,conexion,normal,0.015,1.934
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.035,1.968
Interno,http,Externa,larga,consulta,normal,0.046,2.014
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.061,2.075
Interno,http,Externa,muy_corta,consulta,normal,0.154,2.228
Interno,http,Externa,corta,consulta,normal,0.022,2.251
AnonimoExterno,finger,Externa,corta,conexion,saint,0.072,2.323
Interno,login,Externa,media,conexion,ftp_write,0.09,2.413
AnonimoExterno,netbios_dgm,Externa,muy_corta,conexion,portsweep,0.005,2.417
Interno,smtp,Externa,larga,envio,normal,0.094,2.511
AnonimoExterno,private,Externa,corta,conexion,normal,0.019,2.53
